path,area,kind,lines,bytes,classes,functions,hash,serialize,copy,validate,reflect,cache,filesystem,process,parse_error
agent_docs/research/d80-test-rework-coverage-audit/generate_coverage_map.py,agent_docs,source,740,26462,4,23,0,0,0,0,31,0,4,2,
agent_docs/research/d80-test-rework-coverage-audit/manage_legacy_migration_manifest.py,agent_docs,source,1377,52758,3,20,0,0,0,2,25,6,8,0,
ai/__init__.py,ai,source,1,68,0,0,0,0,0,0,0,0,0,0,
ai/codex_tools/__init__.py,ai,source,1,74,0,0,0,0,0,0,0,0,0,0,
ai/codex_tools/__main__.py,ai,source,7,141,0,0,0,0,0,0,0,0,0,0,
ai/codex_tools/artifacts.py,ai,source,506,21337,7,13,0,1,0,7,0,0,0,0,
ai/codex_tools/client.py,ai,source,150,5491,2,11,0,0,0,2,0,0,0,0,
ai/codex_tools/commands.py,ai,source,355,14300,2,23,0,5,0,0,0,0,0,0,
ai/codex_tools/contracts.py,ai,source,59,2813,4,0,0,0,0,0,0,0,0,0,
ai/codex_tools/direct_game.py,ai,source,345,11430,12,8,0,1,0,8,0,0,0,0,
ai/codex_tools/heavy_cli.py,ai,source,7,163,0,0,0,0,0,0,0,0,0,0,
ai/codex_tools/hot_runtime.py,ai,source,2783,127690,53,120,0,13,1,3,21,0,0,2,
ai/codex_tools/local_client.py,ai,source,307,11305,3,31,0,1,0,1,6,0,0,0,
ai/codex_tools/representation/__init__.py,ai,source,27,1061,0,0,0,0,0,0,0,0,0,0,
ai/codex_tools/representation/components.py,ai,source,1121,47092,54,1,0,0,0,3,0,0,0,0,
ai/codex_tools/representation/geometry.py,ai,source,352,14503,5,10,2,5,0,5,0,0,0,0,
ai/codex_tools/representation/inspection.py,ai,source,1117,48608,28,33,2,3,1,6,0,0,0,1,
ai/codex_tools/representation/models.py,ai,source,612,28181,20,22,2,3,0,39,1,0,0,0,
ai/codex_tools/representation/oracle.py,ai,source,78,2649,0,3,0,0,0,0,0,0,0,0,
ai/codex_tools/representation/predicates.py,ai,source,995,40762,16,30,0,0,1,12,0,0,0,0,
ai/codex_tools/representation/profiles.py,ai,source,796,36077,0,4,0,0,0,0,0,0,0,0,
ai/codex_tools/representation/projector.py,ai,source,1646,66126,5,40,0,2,0,3,3,0,0,0,
ai/codex_tools/representation/registry.py,ai,source,200,7933,1,10,0,0,0,2,0,0,0,0,
ai/codex_tools/session_transcript.py,ai,source,400,17856,6,16,2,9,0,1,0,0,0,1,
ai/codex_tools/wire_cli.py,ai,source,258,9651,1,8,0,3,0,0,3,0,0,0,
ai/knowledge/__init__.py,ai,source,31,744,0,0,0,0,0,0,0,0,0,0,
ai/knowledge/deriver.py,ai,source,849,34765,2,20,0,0,0,1,0,0,0,0,
ai/knowledge/models.py,ai,source,292,14771,13,2,0,0,0,0,0,0,0,0,
ai/knowledge/replay.py,ai,source,35,1092,0,3,0,0,0,0,0,0,0,0,
ai/knowledge/topology.py,ai,source,236,8672,1,7,0,0,0,0,0,12,0,0,
ai/ordered_delivery.py,ai,source,132,5007,2,7,0,0,0,0,0,0,0,1,
ai/planning/__init__.py,ai,source,29,657,0,0,0,0,0,0,0,0,0,0,
ai/planning/composition.py,ai,source,330,12225,0,8,0,2,0,0,0,0,0,0,
ai/planning/contracts.py,ai,source,259,10848,12,2,0,0,0,0,0,0,0,0,
ai/planning/registry.py,ai,source,87,3219,1,6,0,0,0,0,2,0,0,0,
ai/policy/__init__.py,ai,source,153,4212,0,0,0,0,0,0,0,0,0,0,
ai/policy/candidates.py,ai,source,4701,184048,14,104,0,0,2,12,1,43,0,0,
ai/policy/commands.py,ai,source,441,21198,3,9,0,0,1,1,0,0,0,0,
ai/policy/contracts.py,ai,source,788,38337,33,7,0,0,0,4,1,1,0,0,
ai/policy/default.py,ai,source,181,6200,1,2,0,0,0,1,0,0,0,0,
ai/policy/definitions.py,ai,source,113,4535,2,1,3,0,0,0,0,0,4,0,
ai/policy/economy.py,ai,source,429,16320,3,18,0,0,1,0,0,1,0,0,
ai/policy/generations/__init__.py,ai,source,13,323,0,0,0,0,0,0,0,0,0,0,
ai/policy/generations/current_annotations.py,ai,source,82,2686,0,2,0,0,0,0,0,0,0,0,
ai/policy/generations/current_candidate.py,ai,source,1169,46748,4,34,0,0,6,0,0,0,0,0,
ai/policy/generations/current_commitments.py,ai,source,981,39245,13,30,3,0,7,6,0,0,0,0,
ai/policy/generations/current_options.py,ai,source,85,2648,0,5,0,0,0,0,0,0,0,0,
ai/policy/generations/current_scoring.py,ai,source,326,15980,3,9,0,0,1,0,4,0,0,0,
ai/policy/generations/registry.py,ai,source,65,2278,0,2,0,0,0,0,0,0,0,0,
ai/policy/host.py,ai,source,1061,44368,17,29,2,0,5,7,0,0,0,0,
ai/policy/memory.py,ai,source,346,15170,5,12,0,2,1,4,0,0,0,0,
ai/policy/outcomes.py,ai,source,799,29207,5,30,0,0,1,1,0,13,0,0,
